"","Molecule.ChEMBL.ID","Smiles","Standard.Relation","Standard.Value","Document.ChEMBL.ID","Molar","pIC50","Bioactivity.Class"
"1034","CHEMBL4225027","C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2nccc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)N[C@H]1C(=O)OCC1(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1","'='","23.0","CHEMBL4219218",2.3e-08,7.63827216398241,"active"
"1035","CHEMBL378469","CN(C)S(=O)(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1","'='","23.0","CHEMBL1138950",2.3e-08,7.63827216398241,"active"
"1036","CHEMBL213509","CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(N)ccc3N2)c(O)c2cccnc21","'='","23.0","CHEMBL1138030",2.3e-08,7.63827216398241,"active"
"1037","CHEMBL379033","COc1ccc2c(c1)c(O)c(C1=NS(=O)(=O)c3ccccc3N1)c(=O)n2CCC(C)C","'='","23.0","CHEMBL1148625",2.3e-08,7.63827216398241,"active"
"1038","CHEMBL3645725","C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@]2(CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCCN1C(C)C)C1(C)CCOCC1)C1(C)CCCCC1)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N(CC)CC","'='","22.0","CHEMBL3639192",2.2e-08,7.65757731917779,"active"
"1039","CHEMBL208585","CN(C)C(=O)Nc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1","'='","22.0","CHEMBL3045038",2.2e-08,7.65757731917779,"active"
"1040","CHEMBL379931","CC(=O)Nc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1","'='","22.0","CHEMBL3045038",2.2e-08,7.65757731917779,"active"
"1041","CHEMBL204628","CC(C)(C)[C@H]1C(O)=C(C2=NS(=O)(=O)c3ccccc3N2)C(=O)N1Cc1ccccc1","'='","22.0","CHEMBL1146957",2.2e-08,7.65757731917779,"active"
"1042","CHEMBL3651436","CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)NC4(c5ncccn5)COC4)c(OC)cc3C)c(F)c12","'='","22.0","CHEMBL3639184",2.2e-08,7.65757731917779,"active"
"1043","CHEMBL212728","CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NC(=O)OCCN)ccc3N2)c(O)c2cccnc21","'='","21.0","CHEMBL1138070",2.1e-08,7.67778070526608,"active"
"1044","CHEMBL213807","O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)NCCO)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1","'='","21.0","CHEMBL3045038",2.1e-08,7.67778070526608,"active"
"1045","CHEMBL214864","Cn1c(-c2ccoc2)c(C2CCCC2)c2ccc(C(=O)O)cc21","'='","21.0","CHEMBL1146881",2.1e-08,7.67778070526608,"active"
"1046","CHEMBL202405","CC(C)(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21","'='","21.0","CHEMBL1148625",2.1e-08,7.67778070526608,"active"
"1047","CHEMBL1203925","Cl.O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCNc1ccccc1-3","'='","21.0","CHEMBL1137351",2.1e-08,7.67778070526608,"active"
"1048","CHEMBL425221","CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(NCC(=O)O)ccc21","'='","21.0","CHEMBL1148625",2.1e-08,7.67778070526608,"active"
"1049","CHEMBL3927052","CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4nnn(Cc5ccc(F)cc5OC)c(=O)c4c3)cc12","'='","20.16","CHEMBL3886778",2.016e-08,7.69550947222651,"active"
"1050","CHEMBL276504","C=CC[C@H](NC(=O)[C@@H]1C[C@@H](CCCc2ccc3ccccc3c2)c2c(Cl)nc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2CC3CC(C3(C)C)[C@@]2(C)O1","'='","20.0","CHEMBL1136658",2e-08,7.69897000433602,"active"
"1051","CHEMBL348546","CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1C)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(C)C)C(C)(C)C)C(=O)C(N)=O","'='","20.0","CHEMBL1135073",2e-08,7.69897000433602,"active"
"1052","CHEMBL188984","CCCCCC(=O)Nc1nnc(S(=O)(=O)NC(=O)CNC(=O)C(=O)[C@H](CC(F)F)NC(=O)[C@H](CC2CCCCC2)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c2cnccn2)[C@@H](C)CC)s1","'='","20.0","CHEMBL1140365",2e-08,7.69897000433602,"active"
